pathID	gene
Senescence	AGO1
Senescence	ANAPC11
Senescence	ANAPC15
Senescence	ANAPC16
Senescence	ATM
Senescence	CABIN1
Senescence	CBX2
Senescence	CBX4
Senescence	CBX6
Senescence	CBX8
Senescence	CCNA1
Senescence	CCNA2
Senescence	CCNE1
Senescence	CCNE2
Senescence	CDC16
Senescence	CDC23
Senescence	CDC26
Senescence	CDC27
Senescence	CDK2
Senescence	CDK4
Senescence	CDK6
Senescence	CDKN1A
Senescence	CDKN1B
Senescence	CEBPB
Senescence	CXCL8
Senescence	E2F1
Senescence	E2F2
Senescence	E2F3
Senescence	EHMT2
Senescence	ERF
Senescence	ETS1
Senescence	ETS2
Senescence	EZH2
Senescence	HMGA2
Senescence	ID1
Senescence	IFNB1
Senescence	IL1A
Senescence	IL6
Senescence	JUN
Senescence	KDM6B
Senescence	LMNB1
Senescence	MAP2K3
Senescence	MAP2K4
Senescence	MAP2K6
Senescence	MAP4K4
Senescence	MAPK1
Senescence	MAPK10
Senescence	MAPK11
Senescence	MAPK14
Senescence	MAPK3
Senescence	MAPK7
Senescence	MAPK8
Senescence	MAPK9
Senescence	MAPKAPK2
Senescence	MAPKAPK3
Senescence	MAPKAPK5
Senescence	MDM2
Senescence	MDM4
Senescence	MINK1
Senescence	MOV10
Senescence	NBN
Senescence	NFKB1
Senescence	PHC1
Senescence	PHC2
Senescence	PHC3
Senescence	POT1
Senescence	RAD50
Senescence	RB1
Senescence	RBBP4
Senescence	RBBP7
Senescence	RELA
Senescence	RING1
Senescence	RNF2
Senescence	RPS27A
Senescence	RPS6KA1
Senescence	RPS6KA2
Senescence	RPS6KA3
Senescence	SCMH1
Senescence	SP1
Senescence	STAT3
Senescence	SUZ12
Senescence	TERF1
Senescence	TFDP2
Senescence	TINF2
Senescence	TNIK
Senescence	TNRC6A
Senescence	TNRC6B
Senescence	TNRC6C
Senescence	TP53
Senescence	TXN
Senescence	UBA52
Senescence	UBB
Senescence	UBE2C
Senescence	UBN1
Senescence	VENTX
Senescence	IGFBP5
Senescence	CCND1
Senescence	CCL3
Senescence	CP
Senescence	CCL4
Senescence	SPP1
Senescence	IGF1
Senescence	CXCL17
Senescence	CCL4
Senescence	CEBPD
Pyroptosis	BAK1
Pyroptosis	BAX
Pyroptosis	CASP1
Pyroptosis	CASP3
Pyroptosis	CASP4
Pyroptosis	CASP5
Pyroptosis	CHMP2A
Pyroptosis	CHMP2B
Pyroptosis	CHMP3
Pyroptosis	CHMP4A
Pyroptosis	CHMP4B
Pyroptosis	CHMP4C
Pyroptosis	CHMP6
Pyroptosis	CHMP7
Pyroptosis	CYCS
Pyroptosis	ELANE
Pyroptosis	GSDMD
Pyroptosis	GSDME
Pyroptosis	GZMB
